"Contract ID","Plan ID","Organization Type","Plan Type","Offers Part D","SNP Plan","EGHP","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date"
"90091",,"HCPP - 1833 Cost","HCPP - 1833 Cost","No","No","No","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement",,"UMWA Health and Retirement Funds",02/01/1974 0:00:00
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT Voluntary Employee Benefits Trust (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00
"E0654","802","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT Voluntary Employee Benefit Fund 802 (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00
"E0654","803","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT Voluntary Employee Benefit Fund 803 (Employer PDP)","IBT Voluntary Employee Benefits Trust",01/01/2007 0:00:00
"E2630","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","C AND O EMPLOYEES' HOSPITAL ASSOCIATION","C and O Employees Hospital Association","C and O Employees Hospital Association (Employer PDP)","C & O Employees' Hospital Association",01/01/2007 0:00:00
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS HOP (Employer PDP)","Commonwealth of PA Pub Schools Retirement System",01/01/2007 0:00:00
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportaion/ Highway Patr (Employer PDP)","Missouri Highways and Transportation Commission",01/01/2007 0:00:00
"E7316","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS","Union Pacific Railroad  Employes Health Systems","The UPREHS Prime Medicare Plan (Employer PDP)","Union Pacific Railroad Employes Health Systems",01/01/2007 0:00:00
"E7848","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","No","Yes","OMES EMPLOYEES GROUP INSURANCE DIVISION","HealthChoice","OMES Employees Group Insurance Division (Employer PDP)","State of Oklahoma",01/01/2007 0:00:00
"H0022","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Buckeye Health Plan - MyCare Ohio","Buckeye Health Plan - MyCareOhio (Medicare-Medicaid Plan)","Centene Corporation",05/01/2014 0:00:00
"H0028","001","Local CCP","HMO/HMOPOS","Yes","No","No","CHA HMO, INC.","CHA HMO, Inc.","Humana Gold Plus H0028-001 (HMO)","Humana Inc.",01/01/2013 0:00:00
"H0028","002","Local CCP","HMO/HMOPOS","Yes","No","No","CHA HMO, INC.","CHA HMO, Inc.","Humana Gold Plus H0028-002 (HMO)","Humana Inc.",01/01/2013 0:00:00
"H0028","003","Local CCP","HMO/HMOPOS","Yes","No","No","CHA HMO, INC.","CHA HMO, Inc.","Humana Gold Plus H0028-003 (HMO)","Humana Inc.",01/01/2013 0:00:00
"H0028","004","Local CCP","HMO/HMOPOS","Yes","No","No","CHA HMO, INC.","CHA HMO, Inc.","Humana Gold Plus H0028-004 (HMO)","Humana Inc.",01/01/2013 0:00:00
"H0028","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","CHA HMO, INC.","CHA HMO, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2013 0:00:00
"H0028","802","Local CCP","HMO/HMOPOS","No","No","Yes","CHA HMO, INC.","CHA HMO, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2013 0:00:00
"H0084","001","Local CCP","Local PPO","Yes","No","No","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",01/01/2009 0:00:00
"H0084","004","Local CCP","Local PPO","Yes","Yes","No","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00
"H0084","014","Local CCP","Local PPO","Yes","Yes","No","CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Silver Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2009 0:00:00
"H0104","010","Local CCP","Local PPO","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00
"H0104","011","Local CCP","Local PPO","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00
"H0104","801","Local CCP","Local PPO","No","No","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Employer Group Plan 801 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00
"H0104","802","Local CCP","Local PPO","Yes","No","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Employer Group Plan 802 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00
"H0104","804","Local CCP","Local PPO","Yes","No","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Advantage (PPO)","Blue Advantage Employer Group Plan 804 (PPO)","BlueCross BlueShield of Alabama",07/01/2005 0:00:00
